epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1500.15,1.90513,1.13347,1.39452,0.59209,0.5769,0.56892,0.23193,2.09384,1.26706,1.64823,0.0011882,0.0011882,0.0011882
43,1535.88,1.89219,1.11645,1.40601,0.59326,0.59517,0.57398,0.23495,2.09622,1.2707,1.67264,0.0011684,0.0011684,0.0011684
44,1571.39,1.89178,1.11229,1.3874,0.57553,0.57998,0.56421,0.23023,2.10777,1.26089,1.67043,0.0011486,0.0011486,0.0011486
45,1606.91,1.8903,1.10911,1.3916,0.58094,0.57475,0.56716,0.23557,2.09113,1.26508,1.66405,0.0011288,0.0011288,0.0011288
46,1642.8,1.89719,1.12455,1.39207,0.59814,0.55837,0.56957,0.23687,2.07342,1.23141,1.64796,0.001109,0.001109,0.001109
47,1678.49,1.87729,1.09625,1.38787,0.58764,0.56991,0.56626,0.23314,2.08829,1.2443,1.65606,0.0010892,0.0010892,0.0010892
48,1714.03,1.86962,1.08612,1.37712,0.62039,0.5692,0.58525,0.24199,2.11106,1.20312,1.67272,0.0010694,0.0010694,0.0010694
49,1749.71,1.87835,1.08736,1.38082,0.57691,0.57572,0.56472,0.23312,2.11524,1.23677,1.6853,0.0010496,0.0010496,0.0010496
50,1785.58,1.87444,1.07882,1.36423,0.58588,0.57558,0.57279,0.23292,2.08545,1.22217,1.65434,0.0010298,0.0010298,0.0010298
51,1821.29,1.84983,1.06888,1.37172,0.58254,0.56911,0.55538,0.22824,2.11445,1.23518,1.68922,0.00101,0.00101,0.00101
52,1856.64,1.83624,1.05351,1.36741,0.59901,0.57068,0.56883,0.23516,2.10867,1.23248,1.669,0.0009902,0.0009902,0.0009902
53,1892.52,1.83862,1.0543,1.35454,0.59785,0.57161,0.56949,0.23443,2.12501,1.19835,1.69044,0.0009704,0.0009704,0.0009704
54,1928.17,1.82454,1.06282,1.38258,0.59328,0.55328,0.55894,0.22703,2.11056,1.22868,1.67816,0.0009506,0.0009506,0.0009506
55,1963.8,1.81578,1.04734,1.36841,0.59337,0.55866,0.55501,0.22707,2.1289,1.25974,1.70212,0.0009308,0.0009308,0.0009308
56,1999.34,1.82514,1.04172,1.36745,0.58818,0.57517,0.56502,0.231,2.13876,1.2228,1.69102,0.000911,0.000911,0.000911
57,2034.85,1.82257,1.05122,1.35929,0.58181,0.58425,0.57776,0.23832,2.09491,1.20169,1.67912,0.0008912,0.0008912,0.0008912
58,2070.62,1.82192,1.02877,1.34556,0.57393,0.57806,0.55945,0.2323,2.13197,1.21925,1.70022,0.0008714,0.0008714,0.0008714
59,2106.29,1.80343,1.02133,1.34754,0.56773,0.5815,0.55996,0.22919,2.11416,1.24166,1.6814,0.0008516,0.0008516,0.0008516
60,2141.75,1.82014,1.02328,1.34999,0.61263,0.5702,0.57962,0.23573,2.143,1.22198,1.70896,0.0008318,0.0008318,0.0008318
61,2177.38,1.81047,1.02081,1.35098,0.59812,0.58136,0.57017,0.23294,2.1235,1.22424,1.68867,0.000812,0.000812,0.000812
62,2213,1.78605,1.00656,1.34693,0.60761,0.58643,0.58382,0.2386,2.14208,1.20006,1.70239,0.0007922,0.0007922,0.0007922
63,2248.41,1.78915,1.00078,1.34884,0.58917,0.56374,0.56008,0.22596,2.13312,1.24264,1.69184,0.0007724,0.0007724,0.0007724
64,2283.9,1.78459,1.00278,1.34612,0.60144,0.57648,0.5664,0.22893,2.14646,1.22782,1.70305,0.0007526,0.0007526,0.0007526
65,2319.67,1.77409,0.9909,1.33694,0.60391,0.57695,0.56979,0.22957,2.15551,1.21144,1.7128,0.0007328,0.0007328,0.0007328
66,2355.18,1.79067,0.99329,1.33012,0.60391,0.57695,0.57393,0.23471,2.13172,1.19694,1.7005,0.000713,0.000713,0.000713
67,2390.7,1.76186,0.9721,1.32305,0.58165,0.5742,0.55154,0.2237,2.15085,1.23399,1.71941,0.0006932,0.0006932,0.0006932
68,2426.16,1.76558,0.97178,1.32485,0.57732,0.58274,0.55689,0.22861,2.14457,1.23445,1.71663,0.0006734,0.0006734,0.0006734
69,2461.77,1.75473,0.9746,1.31855,0.57823,0.58164,0.55595,0.22551,2.153,1.23526,1.71899,0.0006536,0.0006536,0.0006536
70,2497.16,1.73512,0.95808,1.32562,0.58508,0.5977,0.56923,0.23237,2.14421,1.22301,1.70854,0.0006338,0.0006338,0.0006338
71,2531.98,1.73569,0.9619,1.31981,0.59435,0.57145,0.55318,0.22493,2.1536,1.22962,1.73066,0.000614,0.000614,0.000614
72,2567.05,1.75662,0.95879,1.30802,0.59857,0.56305,0.55638,0.22581,2.16289,1.24361,1.72396,0.0005942,0.0005942,0.0005942
